"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spei
2009-09, -1.34719140331355
2009-10, -1.24294493536647
2009-11, -1.06003672901803
2009-12, -0.971972105248629
2010-01, -0.931726770530373
2010-02, -0.764292708366763
2010-03, -0.73937627530728
2010-04, -0.782610998222639
2010-05, -1.180990667768
2010-06, -1.15848550571595
2010-07, -1.22281429992792
2010-08, -1.36893665869387
2010-09, -1.39304628208149
2010-10, -1.37018783790845
2010-11, -1.308137782338
2010-12, -1.24602284624738
2011-01, -1.16775757874179
2011-02, -1.23079562137699
2011-03, -1.14306938707293
2011-04, -0.951173228131356
2011-05, -1.1242972356151
2011-06, -1.14001162637587
2011-07, -1.10365158490433
2011-08, -1.11270496824689
2011-09, -0.981598612358617
2011-10, -1.05470949950973
2011-11, -1.19170902340204
2011-12, -1.30768623936802
2012-01, -1.37479765871135
2012-02, -1.37789832694432
2012-03, -1.40483831828134
2012-04, -1.39549728855337
2012-05, -1.159877875012
2012-06, -1.09065729771118
2012-07, -1.25015150903319
2012-08, -1.25825666610809
2012-09, -1.25887887883453
2012-10, -1.28899875933363
2012-11, -1.27725223602837
2012-12, -0.970826195107689
2013-01, -1.10405125344481
2013-02, -1.0755642662435
2013-03, -1.161913572276
2013-04, -1.22280585037716
2013-05, -1.20557820995443
2013-06, -1.18775203936926
2013-07, -1.16340168780508
2013-08, -1.38534580612291
2013-09, -1.51061570658764
2013-10, -1.51688285770903
2013-11, -1.49126809394081
2013-12, -1.50726509047698
2014-01, -1.45237448580935
2014-02, -1.5603628757716
2014-03, -1.53687383396684
2014-04, -1.41323521051803
2014-05, -1.46061469129384
2014-06, -1.43425257716971
2014-07, -1.09830191379504
2014-08, -1.12051234033139
2014-09, -1.00037851812485
2014-10, -0.925180181766065
2014-11, -0.945673539082816
2014-12, -1.31321683418309
2015-01, -1.3330226776218
2015-02, -1.38854813799767
2015-03, -1.46864856468323
2015-04, -1.51325642942725
2015-05, -1.48656835701636
2015-06, -1.44866189700605
2015-07, -1.07811975593216
2015-08, -0.819330501963163
2015-09, -0.711025702060051
2015-10, -0.638408144719112
2015-11, -0.638106419871404
2015-12, -0.546988585478571
2016-01, -0.635337582112892
2016-02, -0.678431843458891
2016-03, -0.815717778177964
2016-04, -0.846356723221241
2016-05, -1.04796448254072
2016-06, -1.53244472001227
2016-07, -1.41175620461277
2016-08, -1.3431919380105
2016-09, -1.45387504220966
2016-10, -1.37527169527129
2016-11, -1.39928180242246
2016-12, -1.29528935803972
2017-01, -1.24442381338413
2017-02, -1.21289428553295
2017-03, -1.16348273291843
2017-04, -1.13793217402752
2017-05, -1.41521851564492
2017-06, -1.45147549244309
2017-07, -1.68044281359657
2017-08, -1.69810904552255
2017-09, -1.74093604160272
2017-10, -1.71842959662693
2017-11, -1.71892009139876
2017-12, -1.73332150725263
2018-01, -1.72745812070703
2018-02, -1.71793588483629
2018-03, -1.54994275470154
2018-04, -1.40484529230556
2018-05, -1.36187337917097
2018-06, -1.22011241227327
2018-07, -1.48847795495567
2018-08, -1.4718139818601
2018-09, -1.34505623257131
2018-10, -1.30914870135937
2018-11, -1.18134898482949
2018-12, -1.24385432842562
2019-01, -1.26487066725435
2019-02, -1.27971942184693
2019-03, -1.31677928527666
2019-04, -1.36150403493652
2019-05, -1.24608464797192
2019-06, -1.19053077523301
2019-07, -0.867431124637698
2019-08, -0.965999298338721
2019-09, -1.04268567875939
2019-10, -1.02061078399723
2019-11, -0.958746847608069
2019-12, -0.96166121025128
2020-01, -99.9
2020-02, -99.9
2020-03, -99.9
2020-04, -99.9
2020-05, -99.9
2020-06, -99.9
2020-07, -99.9
2020-08, -99.9
2020-09, -99.9
2020-10, -99.9
2020-11, -99.9
2020-12, -99.9
